Career,Skills,Education
AI Engineer,"Python, Machine Learning, Deep Learning",B.Tech CSE
Data Scientist,"Python, SQL, Statistics",B.Tech CSE
Data Analyst,"SQL, Excel, Power BI",Any Graduate
ML Engineer,"Python, Scikit-learn, Pandas",B.Tech CSE
Frontend Developer,"HTML, CSS, JavaScript, React",B.Tech CSE
Backend Developer,"Python, FastAPI, SQL",B.Tech CSE
Full Stack Developer,"HTML, CSS, JavaScript, React, FastAPI",B.Tech CSE
Cloud Engineer,"AWS, Linux, Docker",B.Tech CSE
Cyber Security Engineer,"Networking, Linux, Security",B.Tech CSE
Software Engineer,"Python, Java, DSA",B.Tech CSE
